id,game_id,season_id,period,time,seconds,team_id,opponent_team_id,goalie_in_id,goalie_out_id
2_goalie_1_0_TOR,2,1,1,0:00,0,6,4,64,
2_goalie_1_0_NY,2,1,1,0:00,0,4,6,155,
3_goalie_1_0_OTT,3,1,1,0:00,0,5,3,59,
3_goalie_1_0_MTL,3,1,1,0:00,0,3,5,28,
4_goalie_1_0_BOS,4,1,1,0:00,0,1,2,6,
4_goalie_1_0_MIN,4,1,1,0:00,0,2,1,22,
5_goalie_1_0_NY,5,1,1,0:00,0,4,6,41,
5_goalie_1_0_TOR,5,1,1,0:00,0,6,4,64,
5_goalie_3_1148_NY,5,1,3,19:08,1148,4,6,,41
6_goalie_1_0_MTL,6,1,1,0:00,0,3,2,28,
6_goalie_1_0_MIN,6,1,1,0:00,0,2,3,123,
6_goalie_3_969_MTL,6,1,3,16:09,969,3,2,,28
6_goalie_3_1033_MTL,6,1,3,17:13,1033,3,2,28,
6_goalie_3_1200_MTL,6,1,3,20:00,1200,3,2,,28
8_goalie_1_0_TOR,8,1,1,0:00,0,6,2,64,
8_goalie_1_0_MIN,8,1,1,0:00,0,2,6,22,
8_goalie_3_1088_TOR,8,1,3,18:08,1088,6,2,,64
9_goalie_1_0_NY,9,1,1,0:00,0,4,3,155,
9_goalie_1_0_MTL,9,1,1,0:00,0,3,4,85,
10_goalie_1_0_TOR,10,1,1,0:00,0,6,5,64,
10_goalie_1_0_OTT,10,1,1,0:00,0,5,6,59,
10_goalie_1_1200_TOR,10,1,1,20:00,1200,6,5,,64
10_goalie_2_0_TOR,10,1,2,0:00,0,6,5,70,
11_goalie_1_0_MTL,11,1,1,0:00,0,3,1,28,
11_goalie_1_0_BOS,11,1,1,0:00,0,1,3,6,
11_goalie_1_643_BOS,11,1,1,10:43,643,1,3,,6
11_goalie_1_649_BOS,11,1,1,10:49,649,1,3,6,
11_goalie_2_631_MTL,11,1,2,10:31,631,3,1,,28
11_goalie_2_635_MTL,11,1,2,10:35,635,3,1,28,
12_goalie_1_0_NY,12,1,1,0:00,0,4,2,155,
12_goalie_1_0_MIN,12,1,1,0:00,0,2,4,123,
12_goalie_2_520_NY,12,1,2,8:40,520,4,2,,155
12_goalie_2_528_NY,12,1,2,8:48,528,4,2,155,
13_goalie_1_0_NY,13,1,1,0:00,0,4,3,41,
13_goalie_1_0_MTL,13,1,1,0:00,0,3,4,28,
13_goalie_3_1072_NY,13,1,3,17:52,1072,4,3,,41
13_goalie_3_1135_NY,13,1,3,18:55,1135,4,3,41,
13_goalie_3_1158_NY,13,1,3,19:18,1158,4,3,,41
14_goalie_1_0_TOR,14,1,1,0:00,0,6,1,64,
14_goalie_1_0_BOS,14,1,1,0:00,0,1,6,19,
14_goalie_1_383_TOR,14,1,1,6:23,383,6,1,,64
14_goalie_1_386_TOR,14,1,1,6:26,386,6,1,64,
14_goalie_3_1125_TOR,14,1,3,18:45,1125,6,1,,64
15_goalie_1_0_OTT,15,1,1,0:00,0,5,2,59,
15_goalie_1_0_MIN,15,1,1,0:00,0,2,5,22,
16_goalie_1_0_BOS,16,1,1,0:00,0,1,4,19,
16_goalie_1_0_NY,16,1,1,0:00,0,4,1,155,
16_goalie_2_124_BOS,16,1,2,2:04,124,1,4,,19
16_goalie_3_1010_BOS,16,1,3,16:50,1010,1,4,,6
16_goalie_3_1027_BOS,16,1,3,17:07,1027,1,4,6,
17_goalie_1_0_MTL,17,1,1,0:00,0,3,6,28,
17_goalie_1_0_TOR,17,1,1,0:00,0,6,3,64,
17_goalie_3_1124_MTL,17,1,3,18:44,1124,3,6,,28
17_goalie_3_1182_MTL,17,1,3,19:42,1182,3,6,28,
18_goalie_1_0_TOR,18,1,1,0:00,0,6,5,70,
18_goalie_1_0_OTT,18,1,1,0:00,0,5,6,59,
18_goalie_3_1064_TOR,18,1,3,17:44,1064,6,5,,70
18_goalie_3_1157_TOR,18,1,3,19:17,1157,6,5,70,
19_goalie_1_0_OTT,19,1,1,0:00,0,5,1,48,
19_goalie_1_0_BOS,19,1,1,0:00,0,1,5,6,
19_goalie_1_1057_OTT,19,1,1,17:37,1057,5,1,59,
19_goalie_3_1185_OTT,19,1,3,19:45,1185,5,1,,59
20_goalie_1_0_MIN,20,1,1,0:00,0,2,3,22,
20_goalie_1_0_MTL,20,1,1,0:00,0,3,2,85,
20_goalie_3_1110_MIN,20,1,3,18:30,1110,2,3,,22
21_goalie_1_0_NY,21,1,1,0:00,0,4,6,155,
21_goalie_1_0_TOR,21,1,1,0:00,0,6,4,64,
21_goalie_3_1072_NY,21,1,3,17:52,1072,4,6,,155
22_goalie_1_0_OTT,22,1,1,0:00,0,5,3,59,
22_goalie_1_0_MTL,22,1,1,0:00,0,3,5,28,
22_goalie_3_412_OTT,22,1,3,6:52,412,5,3,,59
22_goalie_3_414_OTT,22,1,3,6:54,414,5,3,59,
23_goalie_1_0_MIN,23,1,1,0:00,0,2,1,123,
23_goalie_1_0_BOS,23,1,1,0:00,0,1,2,19,
23_goalie_3_1122_MIN,23,1,3,18:42,1122,2,1,,123
