id,goal_id,game_id,season_id,team_id,player_id,jersey_number
2_goal_64_plus_36,2_goal_64,2,1,4,36,9
2_goal_64_plus_87,2_goal_64,2,1,4,87,14
2_goal_64_plus_44,2_goal_64,2,1,4,44,17
2_goal_64_plus_40,2_goal_64,2,1,4,40,19
2_goal_64_plus_34,2_goal_64,2,1,4,34,25
2_goal_65_plus_38,2_goal_65,2,1,4,38,6
2_goal_65_plus_36,2_goal_65,2,1,4,36,9
2_goal_65_plus_40,2_goal_65,2,1,4,40,19
2_goal_65_plus_34,2_goal_65,2,1,4,34,25
2_goal_65_plus_152,2_goal_65,2,1,4,152,59
2_goal_66_plus_38,2_goal_66,2,1,4,38,6
2_goal_66_plus_33,2_goal_66,2,1,4,33,12
2_goal_66_plus_44,2_goal_66,2,1,4,44,17
2_goal_66_plus_149,2_goal_66,2,1,4,149,44
2_goal_66_plus_152,2_goal_66,2,1,4,152,59
2_goal_67_plus_46,2_goal_67,2,1,4,46,3
2_goal_67_plus_45,2_goal_67,2,1,4,45,10
2_goal_67_plus_42,2_goal_67,2,1,4,42,11
2_goal_67_plus_39,2_goal_67,2,1,4,39,13
2_goal_67_plus_87,2_goal_67,2,1,4,87,14
3_goal_68_plus_52,3_goal_68,3,1,5,52,3
3_goal_68_plus_55,3_goal_68,3,1,5,55,10
3_goal_68_plus_61,3_goal_68,3,1,5,61,14
3_goal_68_plus_58,3_goal_68,3,1,5,58,19
3_goal_68_plus_50,3_goal_68,3,1,5,50,21
3_goal_69_plus_84,3_goal_69,3,1,3,84,9
3_goal_69_plus_164,3_goal_69,3,1,3,164,10
3_goal_69_plus_27,3_goal_69,3,1,3,27,14
3_goal_69_plus_29,3_goal_69,3,1,3,29,22
3_goal_69_plus_26,3_goal_69,3,1,3,26,42
3_goal_70_plus_52,3_goal_70,3,1,5,52,3
3_goal_70_plus_63,3_goal_70,3,1,5,63,9
3_goal_70_plus_141,3_goal_70,3,1,5,141,11
3_goal_70_plus_88,3_goal_70,3,1,5,88,16
3_goal_70_plus_50,3_goal_70,3,1,5,50,21
3_goal_71_plus_32,3_goal_71,3,1,3,32,7
3_goal_71_plus_84,3_goal_71,3,1,3,84,9
3_goal_71_plus_161,3_goal_71,3,1,3,161,21
3_goal_71_plus_83,3_goal_71,3,1,3,83,23
3_goal_71_plus_31,3_goal_71,3,1,3,31,29
3_goal_72_plus_84,3_goal_72,3,1,3,84,9
3_goal_72_plus_80,3_goal_72,3,1,3,80,24
3_goal_72_plus_30,3_goal_72,3,1,3,30,43
4_goal_73_plus_117,4_goal_73,4,1,2,117,9
4_goal_73_plus_20,4_goal_73,4,1,2,20,26
4_goal_73_plus_21,4_goal_73,4,1,2,21,27
4_goal_73_plus_119,4_goal_73,4,1,2,119,36
4_goal_73_plus_78,4_goal_73,4,1,2,78,77
4_goal_74_plus_103,4_goal_74,4,1,2,103,11
4_goal_74_plus_105,4_goal_74,4,1,2,105,18
4_goal_74_plus_97,4_goal_74,4,1,2,97,21
4_goal_74_plus_90,4_goal_74,4,1,2,90,22
4_goal_74_plus_129,4_goal_74,4,1,2,129,23
4_goal_75_plus_12,4_goal_75,4,1,1,12,5
4_goal_75_plus_167,4_goal_75,4,1,1,167,7
4_goal_75_plus_18,4_goal_75,4,1,1,18,9
4_goal_75_plus_17,4_goal_75,4,1,1,17,37
4_goal_75_plus_16,4_goal_75,4,1,1,16,47
4_goal_76_plus_23,4_goal_76,4,1,2,23,12
4_goal_76_plus_25,4_goal_76,4,1,2,25,13
4_goal_76_plus_90,4_goal_76,4,1,2,90,22
4_goal_76_plus_129,4_goal_76,4,1,2,129,23
4_goal_76_plus_78,4_goal_76,4,1,2,78,77
4_goal_77_plus_12,4_goal_77,4,1,1,12,5
4_goal_77_plus_167,4_goal_77,4,1,1,167,7
4_goal_77_plus_15,4_goal_77,4,1,1,15,11
4_goal_77_plus_13,4_goal_77,4,1,1,13,21
4_goal_77_plus_8,4_goal_77,4,1,1,8,36
5_goal_78_plus_38,5_goal_78,5,1,4,38,6
5_goal_78_plus_42,5_goal_78,5,1,4,42,11
5_goal_78_plus_33,5_goal_78,5,1,4,33,12
5_goal_78_plus_152,5_goal_78,5,1,4,152,59
5_goal_78_plus_86,5_goal_78,5,1,4,86,67
5_goal_79_plus_67,5_goal_79,5,1,6,67,14
