id,event_id,game_id,season_id,player_id,player_served,team_id,opponent_team_id,home,period,time_off_formatted,minutes,minutes_formatted,bench,penalty_shot,pp,offence,penalty_class_id,penalty_class,lang_penalty_description
2_penalty_73,73,2,1,72,72,6,4,1,1,13:23,2,2:00,0,0,1,31,1,Minor,Slashing
2_penalty_74,74,2,1,37,37,4,6,0,1,15:21,2,2:00,0,0,1,18,1,Minor,Hooking
2_penalty_75,75,2,1,36,36,4,6,0,1,19:59,2,2:00,0,0,1,18,1,Minor,Hooking
2_penalty_76,76,2,1,101,101,6,4,1,3,8:49,2,2:00,0,0,1,22,1,Minor,Interference
2_penalty_77,77,2,1,36,36,4,6,0,3,11:54,2,2:00,0,0,1,18,1,Minor,Hooking
2_penalty_78,78,2,1,149,149,4,6,0,3,12:39,2,2:00,0,0,1,18,1,Minor,Hooking
3_penalty_79,79,3,1,31,31,3,5,0,1,3:22,2,2:00,0,0,1,16,1,Minor,Holding
3_penalty_81,81,3,1,83,83,3,5,0,1,8:37,2,2:00,0,0,1,30,1,Minor,Roughing
3_penalty_80,80,3,1,161,161,3,5,0,1,10:20,2,2:00,0,0,1,35,1,Minor,Tripping
3_penalty_84,84,3,1,82,82,3,5,0,2,7:28,2,2:00,0,0,1,35,1,Minor,Tripping
3_penalty_87,87,3,1,58,58,5,3,1,2,7:50,2,2:00,0,0,1,35,1,Minor,Tripping
3_penalty_82,82,3,1,159,159,3,5,0,2,15:23,2,2:00,0,0,1,9,1,Minor,Delay of Game
3_penalty_85,85,3,1,161,161,3,5,0,3,0:54,2,2:00,0,0,1,3,1,Minor,Boarding
3_penalty_86,86,3,1,63,63,5,3,1,3,12:10,2,2:00,0,0,1,34,1,Minor,Too Many Players
4_penalty_88,88,4,1,24,24,2,1,0,1,15:21,2,2:00,0,0,1,18,1,Minor,Hooking
4_penalty_89,89,4,1,5,5,1,2,1,2,2:17,2,2:00,0,0,1,9,1,Minor,Delay of Game
4_penalty_90,90,4,1,97,97,2,1,0,3,4:38,2,2:00,0,0,1,22,1,Minor,Interference
4_penalty_91,91,4,1,24,24,2,1,0,3,11:10,2,2:00,0,0,1,18,1,Minor,Hooking
4_penalty_92,92,4,1,24,24,2,1,0,3,17:01,2,2:00,0,0,1,35,1,Minor,Tripping
5_penalty_93,93,5,1,40,40,4,6,1,1,17:42,2,2:00,0,0,1,31,1,Minor,Slashing
