id,event_id,game_id,season_id,player_id,goalie_id,team_id,opponent_team_id,home,shot_order,goal,winning_goal,seconds
17_shootout_87,87,17,1,31,64,3,6,1,1,0,0,0
17_shootout_88,88,17,1,66,28,6,3,0,1,0,0,1
17_shootout_89,89,17,1,31,64,3,6,1,2,0,0,2
17_shootout_90,90,17,1,100,28,6,3,0,2,0,0,3
17_shootout_91,91,17,1,161,64,3,6,1,3,0,0,4
17_shootout_92,92,17,1,89,28,6,3,0,3,1,0,5
17_shootout_93,93,17,1,31,64,3,6,1,4,1,0,6
17_shootout_94,94,17,1,75,28,6,3,0,4,0,0,7
17_shootout_95,95,17,1,31,64,3,6,1,5,0,0,8
17_shootout_96,96,17,1,89,28,6,3,0,5,0,0,9
17_shootout_97,97,17,1,32,64,3,6,1,6,0,0,10
17_shootout_98,98,17,1,133,28,6,3,0,6,1,1,11
35_shootout_99,99,35,1,37,28,4,3,1,1,0,0,0
35_shootout_103,103,35,1,31,41,3,4,0,1,0,0,1
35_shootout_100,100,35,1,34,28,4,3,1,2,0,0,2
35_shootout_104,104,35,1,161,41,3,4,0,2,0,0,3
35_shootout_101,101,35,1,42,28,4,3,1,3,1,1,4
35_shootout_105,105,35,1,31,41,3,4,0,3,0,0,5
35_shootout_102,102,35,1,34,28,4,3,1,4,1,0,6
35_shootout_106,106,35,1,32,41,3,4,0,4,0,0,7
36_shootout_107,107,36,1,125,155,6,4,1,1,0,0,0
36_shootout_110,110,36,1,37,64,4,6,0,1,0,0,1
36_shootout_108,108,36,1,100,155,6,4,1,2,1,1,2
36_shootout_111,111,36,1,34,64,4,6,0,2,0,0,3
36_shootout_109,109,36,1,133,155,6,4,1,3,0,0,4
36_shootout_112,112,36,1,42,64,4,6,0,3,0,0,5
36_shootout_113,113,36,1,73,155,6,4,1,4,0,0,6
36_shootout_115,115,36,1,86,64,4,6,0,4,0,0,7
36_shootout_114,114,36,1,100,155,6,4,1,5,1,0,8
44_shootout_116,116,44,1,104,48,2,5,1,1,1,0,0
44_shootout_121,121,44,1,61,123,5,2,0,1,1,0,1
44_shootout_117,117,44,1,23,48,2,5,1,2,0,0,2
44_shootout_122,122,44,1,63,123,5,2,0,2,0,0,3
44_shootout_118,118,44,1,114,48,2,5,1,3,0,0,4
44_shootout_123,123,44,1,58,123,5,2,0,3,0,0,5
44_shootout_119,119,44,1,25,48,2,5,1,4,1,1,6
44_shootout_124,124,44,1,53,123,5,2,0,4,0,0,7
44_shootout_120,120,44,1,21,48,2,5,1,5,1,0,8
55_shootout_134,134,55,1,104,85,2,3,1,1,0,0,0
55_shootout_139,139,55,1,98,22,3,2,0,1,0,0,1
55_shootout_135,135,55,1,115,85,2,3,1,2,0,0,2
55_shootout_140,140,55,1,32,22,3,2,0,2,0,0,3
55_shootout_136,136,55,1,25,85,2,3,1,3,1,0,4
55_shootout_141,141,55,1,83,22,3,2,0,3,1,0,5
55_shootout_137,137,55,1,21,85,2,3,1,4,1,1,6
55_shootout_142,142,55,1,83,22,3,2,0,4,0,0,7
55_shootout_138,138,55,1,25,85,2,3,1,5,1,0,8
65_shootout_125,125,65,1,61,6,5,1,0,1,0,0,0
65_shootout_126,126,65,1,15,59,1,5,1,1,0,0,1
65_shootout_127,127,65,1,88,6,5,1,0,2,1,0,2
65_shootout_128,128,65,1,1,59,1,5,1,2,1,0,3
65_shootout_129,129,65,1,56,6,5,1,0,3,0,0,4
65_shootout_130,130,65,1,13,59,1,5,1,3,1,1,5
